NEnr;ID_Source;ID_Finance;IDTFinance;Provenance;DateDebut;DateFin;MontantPrevu;MontantRealise;Observation
1025;1025;709;RECETTES;CAC;01/01/2011;31/12/2011;29 007 385,000000;29 007 385,000000;
770;770;129;RECETTES;CAC;01/01/2012;31/12/2012;48 720 000,000000;0,000000;
1026;1026;710;RECETTES;CAC;01/01/2012;30/06/2012;22 428 592,000000;22 428 592,000000;
515;515;237;RECETTES;CAC;01/01/2007;31/12/2007;30 552 106,000000;30 552 106,000000;
1027;1027;711;RECETTES;CAC;01/01/2007;31/12/2007;26 974 355,000000;26 974 355,000000;
516;516;238;RECETTES;CAC;01/01/2008;31/12/2008;35 992 318,000000;35 992 318,000000;
1028;1028;712;RECETTES;CAC;01/01/2008;31/12/2008;20 428 073,000000;20 428 073,000000;
517;517;239;RECETTES;CAC;01/01/2009;31/12/2009;39 116 216,000000;39 116 216,000000;
1029;1029;713;RECETTES;CAC;01/01/2009;31/12/2009;22 201 095,000000;22 201 095,000000;
518;518;240;RECETTES;CAC;01/01/2010;31/12/2010;71 754 519,000000;71 754 519,000000;
1030;1030;714;RECETTES;CAC;01/01/2010;31/12/2010;40 725 538,000000;40 725 538,000000;
519;519;241;INVESTISSEMENT;CAC;01/01/2011;31/12/2011;74 612 922,000000;74 612 922,000000;
1031;1031;715;RECETTES;CAC;01/01/2011;31/12/2011;52 003 377,000000;52 003 377,000000;
520;520;242;RECETTES;CAC;01/01/2012;29/06/2012;45 767 027,000000;45 767 027,000000;
776;776;461;RECETTES;CAC;01/01/2013;31/12/2013;66 997 468,000000;0,000000;
1032;1032;716;RECETTES;CAC;01/01/2012;30/06/2012;34 196 693,000000;34 196 693,000000;
9;9;73;RECETTES;CAC;01/01/2009;31/12/2009;75 000 000,000000;75 000 000,000000;
521;521;243;RECETTES;CAC;01/01/2007;31/12/2007;144 505 469,000000;144 505 469,000000;
777;777;462;RECETTES;CAC;01/01/2007;31/12/2007;9 633 697,000000;9 633 697,000000;
1033;1033;717;RECETTES;CAC;01/01/2007;31/12/2007;23 120 875,000000;23 120 875,000000;
522;522;244;RECETTES;CAC;01/01/2008;31/12/2008;109 436 101,000000;109 436 101,000000;
778;778;463;RECETTES;CAC;01/01/2008;31/12/2008;7 295 740,000000;7 295 740,000000;
1034;1034;718;RECETTES;CAC;01/01/2008;31/12/2008;17 509 777,000000;17 509 777,000000;
523;523;245;RECETTES;CAC;01/01/2009;31/12/2009;118 934 440,000000;118 934 440,000000;
779;779;464;RECETTES;CAC;01/01/2009;31/12/2009;1 928 963,000000;1 928 963,000000;
1035;1035;719;RECETTES;CAC;01/01/2009;31/12/2009;19 029 511,000000;19 029 511,000000;
524;524;246;RECETTES;CAC;01/01/2010;31/12/2010;218 172 525,000000;218 172 525,000000;
780;780;465;RECETTES;CAC;01/01/2010;31/12/2010;14 544 835,000000;14 544 835,000000;
1036;1036;720;RECETTES;CAC;01/01/2010;31/12/2010;34 907 605,000000;34 907 605,000000;
525;525;247;RECETTES;CAC;01/01/2011;31/12/2011;184 845 697,000000;184 845 697,000000;
781;781;466;RECETTES;CAC;01/01/2011;31/12/2011;22 079 823,000000;22 079 823,000000;
1037;1037;721;RECETTES;CAC;01/01/2011;31/12/2011;53 151 752,000000;53 151 752,000000;
526;526;248;RECETTES;CAC;01/01/2012;30/06/2012;102 178 170,000000;102 178 170,000000;
782;782;467;RECETTES;CAC;01/01/2012;30/06/2012;18 883 444,000000;18 883 444,000000;
1038;1038;722;RECETTES;CAC;01/01/2012;30/06/2012;34 784 367,000000;34 784 367,000000;
527;527;249;RECETTES;CAC;01/01/2007;31/12/2007;7 874 585,000000;78 745 858,000000;
783;783;468;RECETTES;CAC;01/01/2007;31/12/2007;34 893 255,000000;34 893 255,000000;
528;528;250;RECETTES;CAC;01/01/2008;31/12/2008;5 963 538,000000;5 963 538,000000;
784;784;469;RECETTES;CAC;01/01/2008;31/12/2008;26 425 169,000000;26 425 169,000000;
529;529;251;RECETTES;CAC;01/01/2009;31/12/2009;6 481 135,000000;6 481 135,000000;
